Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
345,Milan Jurcina,25,WSH,D,79,3,11,14,1,68,3,0,0,1,95,3.2,1276,16:09
346,Frantisek Kaberle,35,CAR,D,30,1,7,8,-4,8,0,1,0,0,28,3.6,422,14:03
347,Tomas Kaberle,30,TOR,D,57,4,27,31,-8,8,1,3,0,1,93,4.3,1337,23:28
348,Patrick Kaleta,22,BUF,RW,51,4,5,9,1,89,4,0,0,0,35,11.4,455,8:55
349,Dmitri Kalinin,28,TOT,D,73,2,15,17,-9,32,1,1,0,0,67,3.0,1290,17:40
350,Jon Kalinski,21,PHI,LW,12,1,2,3,-2,0,1,0,0,1,7,14.3,91,7:37
351,Boyd Kane,30,PHI,LW,1,0,0,0,0,0,0,0,0,0,0,,8,8:12
352,Patrick Kane,20,CHI,RW,80,25,45,70,-2,42,12,13,0,4,254,9.8,1493,18:40
353,Paul Kariya,34,STL,LW,11,2,13,15,1,2,2,0,0,0,31,6.5,199,18:06
354,Martins Karsums,22,TOT,RW,24,1,5,6,-8,6,1,0,0,0,28,3.6,269,11:11
355,Lukas Kaspar,23,SJS,RW,13,2,2,4,0,8,2,0,0,1,14,14.3,119,9:08
356,Duncan Keith,25,CHI,D,77,8,36,44,33,60,5,2,1,1,173,4.6,1969,25:34
357,Chris Kelly,28,OTT,C/LW,82,12,11,23,-10,38,11,0,1,1,118,10.2,1279,15:36
358,Tim Kennedy,22,BUF,LW,1,0,0,0,0,0,0,0,0,0,1,0.0,11,11:04
359,Tyler Kennedy,22,PIT,C,67,15,20,35,15,30,15,0,0,3,171,8.8,923,13:46
360,Ryan Kesler,24,VAN,C,82,26,33,59,8,61,14,10,2,2,179,14.5,1596,19:28
361,Phil Kessel,21,BOS,C,70,36,24,60,23,16,28,8,0,6,232,15.5,1159,16:34
362,D.J. King,25,STL,C,1,0,1,1,0,0,0,0,0,0,0,,8,8:20
363,Geoff Kinrade,23,TBL,D,1,0,0,0,-1,0,0,0,0,0,1,0.0,18,17:32
364,Ken Klee,37,TOT,D,71,1,10,11,9,28,1,0,0,0,51,2.0,1096,15:26
365,Kevin Klein,24,NSH,D,63,4,8,12,-2,19,3,1,0,0,41,9.8,798,12:40
366,Rostislav Klesla,26,CBJ,D,34,1,8,9,2,38,1,0,0,0,30,3.3,713,20:59
367,Mike Knuble,36,PHI,RW,82,27,20,47,5,62,16,11,0,6,173,15.6,1490,18:10
368,Chuck Kobasew,26,BOS,C,68,21,21,42,5,56,15,6,0,3,129,16.3,999,14:41
369,David Koci,27,TOT,LW,37,1,1,2,1,141,1,0,0,0,13,7.7,220,5:57
370,Ville Koistinen,26,NSH,D,38,3,8,11,0,14,2,1,0,2,42,7.1,559,14:42
371,Mikko Koivu,25,MIN,C,79,20,47,67,2,66,11,5,4,3,236,8.5,1697,21:29
372,Saku Koivu,34,MTL,C,65,16,34,50,4,44,11,5,0,5,123,13.0,1108,17:03
373,Krys Kolanos,27,MIN,C,21,3,3,6,3,16,2,1,0,0,30,10.0,223,10:36
374,Mike Komisarek,27,MTL,D,66,2,9,11,0,121,2,0,0,0,56,3.6,1361,20:37
375,Zenon Konopka,28,TBL,C,7,0,1,1,-1,29,0,0,0,0,6,0.0,49,7:01
376,Tomas Kopecky,26,DET,C,79,6,13,19,-7,46,4,1,1,2,110,5.5,823,10:25
377,Anze Kopitar,21,LAK,C,82,27,39,66,-17,32,19,7,1,3,234,11.5,1677,20:27
378,Lauri Korpikoski,22,NYR,LW,68,6,8,14,-10,14,6,0,0,1,63,9.5,742,10:55
379,Andrei Kostitsyn,23,MTL,LW,74,23,18,41,-7,50,17,6,0,2,169,13.6,1154,15:35
380,Sergei Kostitsyn,21,MTL,LW,56,8,15,23,-3,64,3,5,0,1,74,10.8,792,14:08
